question,options,answer,explanation
航空法における「無人航空機」の定義として正しい重量基準はどれか。,200g以上|100g以上|100g未満,100g以上,航空法の改正により無人航空機の登録義務化等の対象となる重量は100g以上と定義されています。
無人航空機の機体登録の有効期間は何年か。,1年|3年|5年,3年,機体登録の有効期間は3年であり更新が必要です。
機体登録記号の表示について、25kg未満の機体に求められる文字の高さはどれか。,3mm以上|10mm以上|25mm以上,3mm以上,25kg未満の機体は3mm以上、25kg以上の機体は25mm以上の高さで表示する必要があります。
リモートID機能から発信される情報に含まれないものはどれか。,機体の製造番号|機体の位置情報|所有者の氏名,所有者の氏名,リモートIDは登録記号や位置情報などを発信しますが、所有者の氏名などの個人情報は含まれません。
アルコールを摂取した状態での操縦について正しい記述はどれか。,少量であれば認められる|体内にアルコールを保有する状態では禁止|呼気中濃度が基準値以下なら可,体内にアルコールを保有する状態では禁止,航空法ではアルコールの影響により正常な操縦ができないおそれがある状態での飛行を禁止しており、量に関わらず禁止されています。
特定飛行を行う場合の飛行日誌の携行について正しい記述はどれか。,特定飛行を行う場合は必ず携行が必要|業務目的の場合のみ必要|個人の趣味であれば不要,特定飛行を行う場合は必ず携行が必要,特定飛行を行う場合、目的（業務・趣味）に関わらず飛行日誌の作成・携行が義務付けられています。
飛行禁止空域となる「高さ150m以上」の基準はどこからの高さか。,海抜（平均海面）|離陸地点|地表または水面,地表または水面,航空法の高さ制限は、機体直下の地表または水面からの高さ（対地高度）が基準となります。
飛行中に有人航空機の接近を確認した場合の対応として適切なものはどれか。,有人機が回避するのを待つ|無人航空機を降下または着陸させる|そのままの高度で飛行を続ける,無人航空機を降下または着陸させる,無人航空機は有人航空機の航行を妨げてはならず、回避義務があります。
DID地区の正式名称として正しいものはどれか。,人口集中地区|飛行禁止地区|重要施設周辺地区,人口集中地区,DIDはDensely Inhabited Districtの略で、国勢調査の結果に基づき設定される人口集中地区を指します。
航空法における「夜間」の定義として正しいものはどれか。,午後6時から午前6時まで|日没から日出まで|周囲が暗くなってから明るくなるまで,日没から日出まで,国立天文台が発表する日の入り（日没）から日の出（日出）までが夜間と定義されます。
第三者や物件から確保すべき「30m」の距離基準に含まれる対象はどれか。,操縦者本人|補助者|第三者の管理する電柱,第三者の管理する電柱,30mルールの対象となる「物件」には、第三者が管理する建物や工作物（電柱等）が含まれます。
特定飛行において「催し場所上空」に該当する例はどれか。,自然発生的な信号待ちの人混み|プロ野球の試合|混雑した駅前の歩道,プロ野球の試合,特定の日時・場所に多数の人が集まるイベントやお祭り等が「催し」に該当します。
航空法において「物件投下」に該当する行為はどれか。,農薬（液体）の散布|荷物を地面に置く|着陸して荷物を降ろす,農薬（液体）の散布,水や農薬などの液体を霧状に散布する行為も「物件投下」に含まれ、承認が必要です。
カテゴリーⅡB飛行が認められる条件の組み合わせとして正しいものはどれか。,二等資格＋一種機体認証＋立入管理なし|二等資格＋二種機体認証＋立入管理あり|資格なし＋機体認証なし＋立入管理あり,二等資格＋二種機体認証＋立入管理あり,カテゴリーⅡB（許可承認の一部免除）を行うには、二等以上の技能証明と二種以上の機体認証を持ち、立入管理措置を講じる必要があります。
事故発生時に操縦者が最優先で行うべき措置はどれか。,国土交通省への報告|負傷者の救護|飛行日誌への記録,負傷者の救護,事故発生時は直ちに飛行を中止し、負傷者の救護や危険防止措置を最優先で行わなければなりません。
国土交通大臣への事故報告の期限として正しいものはどれか。,3日以内|1週間以内|速やかに（遅滞なく）,速やかに（遅滞なく）,事故等の報告は、事態が発生した後「遅滞なく」行う必要があります。
小型無人機等飛行禁止法において飛行が禁止される範囲は対象施設の周囲何mか。,100m|300m|500m,300m,重要施設の敷地およびその周囲おおむね300mの地域が対象となります。
小型無人機等飛行禁止法の対象施設周辺で飛行させる際の通報期限はいつか。,飛行の24時間前まで|飛行の48時間前まで|飛行の1週間前まで,飛行の48時間前まで,飛行を開始する48時間前までに管轄の警察署等へ通報書を提出する必要があります。
5.7GHz帯の電波を使用する無人航空機に必要な資格はどれか。,無線従事者免許（三陸特以上）|アマチュア無線技士|資格不要,無線従事者免許（三陸特以上）,5.7GHz帯（産業用）を使用するには、第三級陸上特殊無線技士以上の資格と無線局の開局が必要です。
飛行中の航空機に作用する4つの力に含まれないものはどれか。,揚力|遠心力|抗力,遠心力,航空機に作用する4つの力は、揚力、重力、推力、抗力です。
マルチローター（ドローン）が前後左右に移動する主な原理はどれか。,重心移動|プロペラのピッチ変更|各モーターの回転数変化,各モーターの回転数変化,一般的なマルチローターは固定ピッチであり、各モーターの回転数を変えることで姿勢制御や移動を行います。
飛行機（固定翼機）やプロペラが失速する主な原因はどれか。,速度が速すぎる|迎え角が大きすぎる|高度が高すぎる,迎え角が大きすぎる,翼やプロペラが空気を切り裂く角度（迎え角）が限界を超えると、気流が剥離して揚力を失う失速が起きます。
機体がどの方角を向いているかを検知するセンサはどれか。,気圧センサ|GNSS|地磁気センサ（コンパス）,地磁気センサ（コンパス）,方位の特定には地磁気センサ（電子コンパス）が使用されます。
機体の傾きや角速度を検知し姿勢を安定させるセンサはどれか。,IMU（慣性計測装置）|LiDAR|超音波センサ,IMU（慣性計測装置）,ジャイロセンサと加速度センサを含むIMUが姿勢制御の中核を担います。
GNSS（衛星測位システム）で3次元の位置を特定するために最低限必要な衛星数はいくつか。,3つ|4つ|6つ,4つ,緯度・経度・高度の特定に加え、時刻誤差の補正を行うために最低4つの衛星が必要です。
ビル等の反射波によりGNSSの測位精度が低下する現象を何と呼ぶか。,フェードアウト|マルチパス|ドップラー効果,マルチパス,反射した電波（マルチパス）を受信することで位置情報に誤差が生じます。
リチウムポリマーバッテリーの長期保管に適した電圧（充電量）の目安はどれか。,満充電（100%）|保管電圧（60%程度）|完全放電（0%）,保管電圧（60%程度）,満充電や過放電状態での保管は劣化を早めるため、定格の50〜60%程度（ストレージ電圧）で保管します。
リチウムポリマーバッテリーが膨らんでいる場合の対応として適切なものはどれか。,ガス抜きをして使用する|そのまま使用する|直ちに使用を中止する,直ちに使用を中止する,膨らみは内部でガスが発生している危険な状態であり、発火のリスクがあるため使用してはいけません。
冬季などの低温時にバッテリーを使用する際の注意点はどれか。,冷やして使用する|保温・予熱してから使用する|満充電にしない,保温・予熱してから使用する,低温下では化学反応が鈍り電圧が低下しやすいため、使用前に20度〜30度程度に温めることが推奨されます。
モーターの回転数を制御する装置の名称はどれか。,IMU|ESC|GPS,ESC,ESC（Electronic Speed Controller）がフライトコントローラーからの信号を基にモーターの回転を制御します。
夜間飛行を行う際に機体に装備しなければならないものはどれか。,灯火|スピーカー|赤外線カメラ,灯火,機体の位置および方向を視認できる灯火の装備が義務付けられています。
目視外飛行に該当しない（目視内と認められる）飛行方法はどれか。,双眼鏡を使用した監視|モニターを見ながらの操縦|眼鏡を使用した直接監視,眼鏡を使用した直接監視,眼鏡やコンタクトレンズによる矯正は目視に含まれますが、双眼鏡やモニター越しの監視は目視外となります。
一般的に飛行中止を検討すべき地上の風速の目安はどれか。,3m/s以上|5m/s以上|10m/s以上,5m/s以上,多くの機体や許可基準において、風速5m/s以上での飛行は中止すべき目安とされています。
離陸直後の地面付近で揚力が増加し機体が不安定になる現象を何と呼ぶか。,ダウンバースト|地面効果（グラウンド・エフェクト）|フレネルゾーン,地面効果（グラウンド・エフェクト）,地面とローターの間で空気が圧縮され揚力が増す現象です。
マルチローターが垂直に急降下した際に揚力を失う危険な現象はどれか。,ボルテックス・リング・ステート|ダッチロール|スピン,ボルテックス・リング・ステート,自らの吹き下ろし気流（ダウンウォッシュ）に入り込み制御不能になる現象です。
送信機と機体の通信が途絶えた際に自動的に帰還する機能を何と呼ぶか。,RTH（リターントゥホーム）|ATTIモード|ヘッドレスモード,RTH（リターントゥホーム）,フェイルセーフ機能の一つで、通信途絶時などに自動で離陸地点へ戻る機能です。
自動帰還（RTH）の高度設定において注意すべき点はどれか。,可能な限り低く設定する|周辺の障害物より高く設定する|海抜0mに設定する,周辺の障害物より高く設定する,帰還ルート上のビルや木に衝突しないよう、障害物より高い高度を設定する必要があります。
飛行機（固定翼機）の離着陸において適切な風向きはどれか。,追い風|向かい風|横風,向かい風,翼に十分な揚力を得るため、向かい風（正対風）で離着陸を行うのが原則です。
ヘリコプターとマルチローターを比較した際の特徴として正しいものはどれか。,ヘリコプターの方がエネルギー効率が良い|マルチローターの方が構造が複雑である|ヘリコプターはホバリングができない,ヘリコプターの方がエネルギー効率が良い,一般に大径ローターを持つヘリコプターの方が、小径プロペラのマルチローターより揚力発生効率が良いです。
最大離陸重量25kg以上の大型機の特徴として正しいものはどれか。,慣性が小さくすぐに止まれる|加速や減速に要する距離が長くなる|風の影響を受けやすい,加速や減速に要する距離が長くなる,重量が重いため慣性が大きく、動作の変化に時間と距離を要します。
CRM（クルー・リソース・マネジメント）の目的として適切なものはどれか。,操縦者の負担を増やす|利用可能な全リソースを活用し安全を高める|コストを削減する,利用可能な全リソースを活用し安全を高める,人、機材、情報など全てのリソースを有効活用してエラーを防ぐ考え方です。
重大インシデントとして報告義務がある事象はどれか。,プロペラの破損|飛行中の制御不能|予定外の着陸,飛行中の制御不能,機体が制御不能になった場合や飛行中に発火した場合などは、事故に至らなくても重大インシデントとして報告が必要です。
飲酒操縦を行った場合の罰則として正しいものはどれか。,1年以下の懲役又は30万円以下の罰金|50万円以下の罰金|過料のみ,1年以下の懲役又は30万円以下の罰金,飲酒操縦は極めて悪質とされ、懲役刑を含む重い罰則が規定されています。
登録記号の変更届出が必要となる事由が発生してから届出までの期限は何日か。,15日以内|30日以内|60日以内,15日以内,所有者の変更など登録事項に変更があった場合は15日以内に届け出る必要があります。
特定飛行を行う前の「出発前の確認」に含まれない項目はどれか。,機体の点検|操縦者の技能証明書の更新|飛行空域の気象状態,操縦者の技能証明書の更新,出発前の確認項目は「機体の状況」「空域・周囲の状況」「操縦者の状態（アルコール等）」の3点です。免許更新は手続きの問題です。
地磁気センサに悪影響を与える（磁気干渉を起こす）場所はどれか。,鉄筋コンクリートの上|芝生の上|木製テーブルの上,鉄筋コンクリートの上,内部の鉄筋が磁気を帯びていることが多く、コンパスエラーの原因となります。
二等無人航空機操縦士の「限定解除」に含まれない項目はどれか。,夜間飛行|目視外飛行|人口集中地区（DID）での飛行,人口集中地区（DID）での飛行,DID地区での飛行は「カテゴリーⅡB」等の条件による許可免除の対象ですが、免許自体の限定項目（昼間限定、目視内限定、25kg未満限定）には含まれません。
電波法に基づき、無線局の免許なしで使用できる（技適マーク付き）周波数帯はどれか。,169MHz帯|2.4GHz帯|5.7GHz帯,2.4GHz帯,2.4GHz帯は小電力データ通信システム等として、技適マークがあれば免許不要で使用できます。
補助者を配置せずに目視外飛行を行う場合の追加要件に含まれるものはどれか。,機体の塗色や灯火による視認性向上|プロペラガードの装着|予備バッテリーの搭載,機体の塗色や灯火による視認性向上,補助者なし目視外飛行では、有人機からの視認性を高めるための灯火や塗色が求められます。
事故等の報告をせず、または虚偽の報告をした場合の罰則はどれか。,10万円以下の罰金|30万円以下の罰金|50万円以下の罰金,30万円以下の罰金,事故報告義務違反には30万円以下の罰金が科せられます。
航空法における「無人航空機」の重量定義として正しいものはどれか。,本体とバッテリーの合計が100g以上|本体のみで200g以上|本体とバッテリーとカメラの合計が100g以上,本体とバッテリーの合計が100g以上,航空法の改正により無人航空機の定義は重量100g以上となりました。バッテリーは含みますが取り外し可能なカメラ等は通常含みません。
航空法で禁止されている「アルコール保有状態」での飛行について正しい記述はどれか。,微量であっても体内に保有していれば禁止|呼気中濃度0.15mg/l以下なら飛行可能|業務飛行でなければ自身の責任で飛行可能,微量であっても体内に保有していれば禁止,航空法第132条の87によりアルコールの影響により正常な飛行ができないおそれがある状態（体内保有）での飛行は禁止されています。
特定飛行を行う際に義務付けられている「飛行日誌」の構成要素として正しい組み合わせはどれか。,飛行記録・日常点検記録・点検整備記録|飛行記録・購入履歴・バッテリー管理簿|飛行記録・操縦者経歴書・事故報告書,飛行記録・日常点検記録・点検整備記録,飛行日誌には「飛行記録」「日常点検記録」「点検整備記録」の3つを記載・保管する必要があります。
事故発生時に操縦者が最初に行うべき措置はどれか。,負傷者の救護|国土交通大臣への報告|機体の回収,負傷者の救護,事故発生時は直ちに飛行を中止し、負傷者の救護を最優先に行わなければなりません。報告はその後の義務です。
航空法における「夜間」の定義として正しいものはどれか。,日没から日出まで|午後5時から午前5時まで|周囲が暗くなってから明るくなるまで,日没から日出まで,国立天文台が発表する日の入り（日没）から日の出（日出）までが夜間と定義されています。
「目視外飛行」に該当しない（目視内と認められる）飛行方法はどれか。,眼鏡やコンタクトレンズを使用した直接監視|双眼鏡を使用した監視|モニターを見ながらの操縦,眼鏡やコンタクトレンズを使用した直接監視,双眼鏡やモニター越しの監視は「目視外」となります。矯正視力による直接監視は「目視内」です。
第三者や物件から確保すべき「30m」の距離の測り方として正しいものはどれか。,機体と対象物との直線距離|機体直下の地面から対象物までの水平距離|離陸地点からの距離,機体と対象物との直線距離,30mの離隔距離は、水平距離ではなく機体から対象物への最短の直線距離で判断します。
航空法における「催し場所」の定義に含まれる要素はどれか。,特定の日時と場所で開催され多数が集まる|自然発生的に人が集まっている|特定の管理者はおらず日時も決まっていない,特定の日時と場所で開催され多数が集まる,祭礼や縁日、プロスポーツの試合など、日時と場所が特定され多数の者が集まるものが該当します。
航空法において「物件投下」に該当する行為はどれか。,農薬や水を霧状に散布する|着陸して荷物を地面に置く|機体の一部が破損して落下する,農薬や水を霧状に散布する,水や農薬等の液体を霧状に散布する行為も物件投下に該当し、承認が必要です。
緊急用務空域が指定された場合の対応として正しいものはどれか。,すべての無人航空機の飛行を直ちに中止する|許可を受けていれば飛行を継続できる|高度を下げて飛行を継続する,すべての無人航空機の飛行を直ちに中止する,緊急用務空域では、原則としてすべての無人航空機の飛行が禁止されます。
空港周辺の制限表面のうち「水平表面」の一般的な高さはどれか。,空港の標点から45m|空港の標点から150m|滑走路の標高と同じ,空港の標点から45m,水平表面は空港の標点から半径4km（またはそれ以上）の範囲で、標点から45mの高さに設定されます。
「150m以上の高さの空域」における高さの基準はどれか。,地表または水面からの高さ|海抜（平均海面）からの高さ|離陸地点からの高さ,地表または水面からの高さ,150m制限は対地高度（AGL）が基準です。山の斜面等では直下の地面からの高さとなります。
機体登録記号（JU等）の表示サイズについて、25kg未満の機体の要件はどれか。,文字の高さ3mm以上|文字の高さ10mm以上|文字の高さ25mm以上,文字の高さ3mm以上,25kg未満の機体は高さ3mm以上の文字で鮮明に表示する必要があります。
小型無人機等飛行禁止法において飛行が禁止される範囲は対象施設の周囲何mか。,おおむね300m|おおむね100m|おおむね1km,おおむね300m,重要施設の敷地およびその周囲おおむね300mの地域が対象となります。
2.4GHz帯の電波を使用するドローンに必要な要件はどれか。,技術基準適合証明（技適マーク）|無線局の開局免許|第三級陸上特殊無線技士免許,技術基準適合証明（技適マーク）,2.4GHz帯は技適マークがあれば無線免許不要で使用できます。5.7GHz帯等は免許が必要です。
飛行中の航空機に作用する4つの力とはどれか。,揚力・重力・推力・抗力|揚力・重力・浮力・摩擦力|揚力・遠心力・推力・抗力,揚力・重力・推力・抗力,航空機には上向きの揚力、下向きの重力、前向きの推力、後ろ向きの抗力が作用します。
飛行機（固定翼機）やプロペラが失速する主な原因はどれか。,迎え角が大きすぎること|速度が速すぎること|高度が高すぎること,迎え角が大きすぎること,翼やプロペラが空気流に対して角度（迎え角）を取りすぎると、気流が剥離して失速します。
マルチローター（ドローン）が機首の向きを変える（ヨー回転する）原理はどれか。,プロペラの回転数の差による反トルクの利用|舵（ラダー）を動かす|重心を移動させる,プロペラの回転数の差による反トルクの利用,右回りと左回りのプロペラの回転数に差をつけることで、反トルクのバランスを変えて回転します。
離陸直後の地面付近で揚力が増加し機体が不安定になる現象を何と呼ぶか。,地面効果（グラウンド・エフェクト）|ボルテックス・リング・ステート|ダウンバースト,地面効果（グラウンド・エフェクト）,地面付近で吹き下ろしが跳ね返り、揚力が増す現象です。機体がふらつきやすくなります。
ヘリコプターやマルチローターが垂直降下時に陥りやすい危険な現象はどれか。,ボルテックス・リング・ステート|スピン|ダッチロール,ボルテックス・リング・ステート,自らの吹き下ろし気流（ダウンウォッシュ）に入り込み、揚力を失って制御不能になる現象です。
リチウムポリマーバッテリーの長期保管に適した状態はどれか。,50〜60％程度の充電量（保管電圧）|100％の満充電|0％の完全放電,50〜60％程度の充電量（保管電圧）,満充電や過放電での保管は劣化を早めるため、3.8V/セル程度の保管電圧が推奨されます。
リチウムポリマーバッテリーが膨らんでいる場合の対応として適切なものはどれか。,直ちに使用を中止する|ガス抜きをして使用する|冷やして使用する,直ちに使用を中止する,膨らみは内部でガスが発生している危険な状態であり、発火のリスクがあるため使用してはいけません。
GNSS（衛星測位システム）で3次元の位置を特定するために最低限必要な衛星数はいくつか。,4つ|3つ|2つ,4つ,緯度・経度・高度の3次元位置と時刻誤差の補正のために、最低4つの衛星が必要です。
ビル等の反射波によりGNSSの位置情報に誤差が生じる現象を何と呼ぶか。,マルチパス|フェードアウト|電波障害,マルチパス,反射した電波（マルチパス）を受信することで距離計算が狂い、位置がずれる現象です。
地磁気センサ（コンパス）に干渉し、エラーを引き起こす主な要因はどれか。,鉄塔や鉄筋コンクリート|木造建築物|水面,鉄塔や鉄筋コンクリート,鉄などの強磁性体や電流が流れる送電線は地磁気を乱し、コンパスエラーの原因となります。
地磁気センサの異常により機体が円を描くようにふらつく現象を何と呼ぶか。,トイレボウル現象|ペンデュラム現象|ヨーイング現象,トイレボウル現象,方位の認識と位置補正が噛み合わず、機体が渦を巻くように動く現象です。
送信機のアンテナから電波が最も強く放射される方向はどれか。,アンテナの側面方向|アンテナの先端方向|アンテナの根元方向,アンテナの側面方向,一般的なホイップアンテナは、ドーナツ状に側面へ強く電波を出します。先端は最も弱くなります。
送信機と機体の間に障害物がなくても、地面等の反射波の影響で通信が悪化する領域を何と呼ぶか。,フレネルゾーン|デッドゾーン|バミューダゾーン,フレネルゾーン,無線通信において、アンテナ間に確保すべき回転楕円体の空間をフレネルゾーンと呼びます。
一般的に飛行中止を検討すべき地上の風速の目安はどれか。,5m/s以上|10m/s以上|1m/s以上,5m/s以上,多くの機体や許可基準において、風速5m/s以上での飛行は中止すべき目安とされています。
地上と比較した上空（高度100m等）の風速の傾向として正しいものはどれか。,地上より強いことが多い|地上より弱いことが多い|地上と同じである,地上より強いことが多い,上空は地表の摩擦が少ないため、地上よりも風速が強くなる傾向があります。
CRM（クルー・リソース・マネジメント）の目的として適切なものはどれか。,利用可能な全リソースを活用し安全を高める|操縦者の技術だけで全てを解決する|コストを削減する,利用可能な全リソースを活用し安全を高める,人、機材、情報など全てのリソースを有効活用してエラーを防ぐ考え方です。
カテゴリーIIB飛行が可能となる条件の組み合わせはどれか。,二等技能証明＋第二種機体認証＋立入管理措置|二等技能証明＋機体認証なし＋立入管理措置|一等技能証明＋機体認証なし＋立入管理措置なし,二等技能証明＋第二種機体認証＋立入管理措置,カテゴリーIIB（許可承認の免除）には、技能証明、機体認証、立入管理措置の3つが揃っている必要があります。
技能証明（免許）の有効期間は何年か。,3年|1年|5年,3年,一等・二等ともに技能証明の有効期間は3年です。更新には講習受講と身体適性の確認が必要です。
事故や重大インシデントが発生した際の報告期限はいつか。,直ちに（遅滞なく）|3日以内|1週間以内,直ちに（遅滞なく）,事故等の報告は、事態が発生した後「遅滞なく」行う必要があります。
飲酒操縦を行った場合の罰則として正しいものはどれか。,1年以下の懲役又は30万円以下の罰金|50万円以下の罰金|免許取消のみ,1年以下の懲役又は30万円以下の罰金,飲酒操縦は極めて悪質とされ、懲役刑を含む重い罰則が規定されています。
機体登録事項（住所等）に変更があった場合の届出期限はいつか。,15日以内|30日以内|遅滞なく,15日以内,所有者の住所変更などは事由発生から15日以内に届け出る必要があります。
特定飛行を行う前の「出発前の確認」項目に含まれないものはどれか。,操縦者の技能レベル|当該無人航空機の状況|飛行空域及び周囲の状況,操縦者の技能レベル,法的な確認項目は「機体の状況」「空域・周囲の状況」「操縦者の状態（アルコール等）」の3点です。
電波法に基づき、5.7GHz帯（産業用）を使用するために必要な資格はどれか。,第三級陸上特殊無線技士以上|アマチュア無線技士|資格不要,第三級陸上特殊無線技士以上,5.7GHz帯は主に画像伝送用として使用され、陸上特殊無線技士の資格と無線局免許が必要です。
無人航空機のプロペラの「ピッチ」が表すものはどれか。,1回転で進む理論上の距離|プロペラの直径|プロペラの枚数,1回転で進む理論上の距離,ピッチはプロペラのねじれ具合を示し、1回転で空気をどれだけ押し出す（進む）かを表す数値です。
フェイルセーフ機能「RTH（リターントゥホーム）」の設定で最も注意すべき点はどれか。,帰還高度を周囲の障害物より高く設定する|帰還速度を最大にする|着陸地点をランダムにする,帰還高度を周囲の障害物より高く設定する,自動帰還中にビルや木に衝突しないよう、障害物より高い高度を設定する必要があります。
自動操縦飛行中、緊急時に操縦者がとるべき行動（オーバーライド）はどれか。,手動モードに切り替えて回避操作を行う|送信機の電源を切る|そのまま様子を見る,手動モードに切り替えて回避操作を行う,自動操縦であっても常に監視し、危険時は即座に手動介入（オーバーライド）して安全を確保する必要があります。
飛行機（固定翼機）の離着陸において適切な風向きはどれか。,向かい風（正対風）|追い風（背風）|横風,向かい風（正対風）,翼に十分な揚力を得るため、また対地速度を抑えるために、向かい風で離着陸を行うのが原則です。
ヘリコプターが離着陸時に脚が引っかかり横転する現象を何と呼ぶか。,ダイナミック・ロールオーバー|グラウンド・レゾナンス|セットリング・ウィズ・パワー,ダイナミック・ロールオーバー,片方のスキッドを支点にして急激に回転（横転）してしまう現象です。
二等無人航空機操縦士が「第三者上空」での飛行（カテゴリーIII）を行うことはできるか。,できない|立入管理措置をすればできる|補助者を置けばできる,できない,カテゴリーIII（第三者上空）飛行は一等資格と第一種機体認証が必須であり、二等資格では行えません。
機体登録においてリモートIDの搭載が免除されるケースはどれか。,あらかじめ届け出た特定区域内での飛行|夜間の飛行|目視外飛行,あらかじめ届け出た特定区域内での飛行,特定区域の届出や係留飛行、法執行機関の業務などの場合に免除されます。
SHELLモデルにおいて中心に位置する要素（L）は何を指すか。,人間（操縦者）|機体（ハードウェア）|手順（ソフトウェア）,人間（操縦者）,SHELLモデルは人間（Liveware）を中心とし、他の要素との相互作用でエラーを分析する手法です。
飛行日誌の記録が義務付けられるのはどのような飛行か。,特定飛行を行う場合|業務で使用する場合|全ての飛行,特定飛行を行う場合,特定飛行（カテゴリーII以上）を行う場合、飛行日誌の作成・携行・保存が義務付けられます。
バッテリーを寒冷地で使用する際の注意点はどれか。,使用前に温める（プレヒート）|冷やして保管する|満充電のまま放置する,使用前に温める（プレヒート）,低温下では電圧が低下しやすいため、使用前に20℃〜30℃程度に温めることが推奨されます。
夜間飛行を行う際に機体に必須となる装備はどれか。,機体の姿勢と方向がわかる灯火|高感度カメラ|赤外線センサ,機体の姿勢と方向がわかる灯火,夜間でも機体の向きを視認できるよう、所定の灯火を装備・点灯させる必要があります。
無人航空機の定義から除外される重量（模型航空機）はどれか。,100g未満|200g未満|1kg未満,100g未満,本体とバッテリーの合計重量が100g未満のものは「模型航空機」に分類されます。
カテゴリーⅡA飛行に該当する飛行形態はどれか。,最大離陸重量25kg以上の機体での立入管理措置を講じた飛行|DID地区上空での立入管理措置を講じた目視内飛行|立入管理措置を講じないで行う第三者上空飛行,最大離陸重量25kg以上の機体での立入管理措置を講じた飛行,カテゴリーⅡAは空港周辺・150m以上・催し物・危険物・物件投下・25kg以上の飛行を指し、二等資格を持っていても許可承認の審査が必要です。
カテゴリーⅢ飛行を行うために必須となる機体認証の種類はどれか。,第一種機体認証|第二種機体認証|第三種機体認証,第一種機体認証,カテゴリーⅢ（第三者上空）飛行には、より厳格な安全性基準を満たす第一種機体認証が必要です。
