question,options,answer,explanation
目視外飛行において「補助者を配置しない」場合に追加で求められる機体の機能はどれか。,機体前方の映像を送信機で確認できるカメラ|自動追尾機能|プロペラガードの装着,機体前方の映像を送信機で確認できるカメラ,補助者がいないため、操縦者が機体カメラ等を通じて飛行経路全体の状況を把握できる機能が必須となります。
特定飛行の許可・承認の有効期間は原則として最長どのくらいか。,1年間|3年間|6ヶ月間,1年間,包括申請などで許可される期間は原則として最長1年です。
無人航空機の登録記号の表示方法として不適切なものはどれか。,油性ペンで機体に直接書き込む|シールに印字して剥がれないように貼り付ける|鉛筆で薄く書き込む,鉛筆で薄く書き込む,登録記号は耐久性のある方法で鮮明に表示しなければならず、消えやすい鉛筆は不適切です。
リモートID機器から発信される情報に含まれる「動的情報」はどれか。,機体の製造番号|機体の位置・高度・速度|所有者の氏名,機体の位置・高度・速度,動的情報はリアルタイムで変化する位置情報等を指します。製造番号は静的情報、氏名は含まれません。
小型無人機等飛行禁止法の対象施設周辺（レッドゾーン）で飛行が認められる例外ケースはどれか。,土地所有者の同意を得た場合|対象施設の管理者の同意を得た場合|一等資格を保有している場合,対象施設の管理者の同意を得た場合,施設の管理者またはその同意を得た者のみが、当該施設の上空を飛行できます。
小型無人機等飛行禁止法の対象施設周辺で飛行させる際、警察への通報はいつまでに行う必要があるか。,飛行開始の48時間前まで|飛行開始の24時間前まで|飛行終了後速やかに,飛行開始の48時間前まで,都道府県公安委員会（所轄警察署）への通報書提出期限は48時間前です。
緊急用務空域が指定された際、その情報を確認できる主な手段はどれか。,国土交通省のホームページやX（旧Twitter）|テレビのニュース速報のみ|警察からの電話連絡,国土交通省のホームページやX（旧Twitter）,緊急用務空域は随時指定され、WebサイトやSNSを通じて公示されます。
高さ150m以上の空域であっても許可不要で飛行できる特例（30m特例）の条件はどれか。,高層構造物等の物件から30m以内の空域|山頂から垂直に150m以内の空域|海上での飛行,高層構造物等の物件から30m以内の空域,鉄塔やビルなどの物件から30m以内であれば、航空機の航行想定外とみなされ150m制限の例外となります。
特定飛行を行う際に作成する「飛行計画」を事前に通報するシステムはどれか。,DIPS（ドローン情報基盤システム）|FISS（飛行情報共有システム）|j-CRIS（災害時情報共有システム）,DIPS（ドローン情報基盤システム）,現在はDIPS 2.0に機能統合されており、飛行計画の通報もDIPSで行います。
飛行日誌を構成する3つの記録に含まれないものはどれか。,飛行記録|日常点検記録|操縦者経歴記録,操縦者経歴記録,義務付けられているのは「飛行記録」「日常点検記録」「点検整備記録」の3つです。
アルコールの影響により正常な操縦ができないおそれがある状態で飛行させた場合の罰則はどれか。,1年以下の懲役又は30万円以下の罰金|50万円以下の罰金|10万円以下の過料,1年以下の懲役又は30万円以下の罰金,飲酒操縦は非常に重い罰則が科されます。
機体登録制度において、登録を拒否される機体の条件に該当するものはどれか。,表面に不要な突起物があり安全を損なうおそれがある機体|海外製の機体|自作の機体,表面に不要な突起物があり安全を損なうおそれがある機体,安全上の問題がある機体は登録を受けられません。海外製や自作機でも安全基準を満たせば登録可能です。
技能証明（免許）の更新申請を行うことができる期間はいつか。,有効期間満了の6ヶ月前から|有効期間満了の1年前から|有効期間満了の1ヶ月前から,有効期間満了の6ヶ月前から,更新申請は有効期間満了の6ヶ月前から可能です。
指定試験機関での実地試験が免除される条件はどれか。,登録講習機関の講習を修了する|総飛行時間が100時間を超える|無人航空機従事者試験（ドローン検定）に合格する,登録講習機関の講習を修了する,登録講習機関（ドローンスクール）で修了審査に合格すると、国の実地試験が免除されます。
無人航空機の「使用の条件（運用限界）」に違反して飛行させた場合の責任について正しい記述はどれか。,操縦者の責任となる|メーカーの責任となる|自己責任なので法的な責任はない,操縦者の責任となる,指定された運用限界（風速制限など）を守らずに飛行させることは航空法違反となります。
リスク評価（リスクアセスメント）においてリスクの大きさを決定する2つの要素はどれか。,発生確率と被害の重大性|機体の価格と操縦者の熟練度|飛行時間と飛行距離,発生確率と被害の重大性,ハザードが顕在化する「頻度（確率）」と、その結果生じる「被害の大きさ」の組み合わせで評価します。
気象用語における「風速」とは、通常どのくらいの時間の平均値を指すか。,10分間|瞬間値|1時間,10分間,気象庁の定義において風速は前10分間の平均値を指します。
海陸風の説明として正しいものはどれか。,日中は海から陸へ、夜間は陸から海へ風が吹く|日中は陸から海へ、夜間は海から陸へ風が吹く|一日中海から陸へ風が吹く,日中は海から陸へ、夜間は陸から海へ風が吹く,日中は陸地が暖まりやすいため上昇気流が生じ、海から風が吹き込みます。
積乱雲の近くで発生しやすい危険な下降気流を何と呼ぶか。,ダウンバースト|サーマル|ジェット気流,ダウンバースト,地面に衝突して四方に広がる強烈な下降気流で、航空機にとって極めて危険です。
霧が発生している状況での飛行について正しい判断はどれか。,目視監視ができないため飛行を中止する|ライトを点灯すれば飛行可能|モニターで確認できれば飛行可能,目視監視ができないため飛行を中止する,霧は視程を悪化させ、目視外飛行の状態になるため、原則として飛行を中止すべきです。
リチウムポリマーバッテリー（LiPo）の1セルあたりの公称電圧（定格電圧）は通常何Vか。,3.7V|1.5V|12V,3.7V,LiPoの公称電圧は3.7V、満充電時は約4.2Vです。
バッテリー容量を表す単位「mAh（ミリアンペアアワー）」の意味として正しいものはどれか。,1時間流し続けられる電流の量|バッテリーの最大電圧|バッテリーの重量,1時間流し続けられる電流の量,放電容量を表し、数値が大きいほど長く使用できます。
ブラシレスモーターの特徴として正しいものはどれか。,ブラシの摩耗がなく長寿命である|構造が簡単で安価だが寿命が短い|回転数の制御ができない,ブラシの摩耗がなく長寿命である,ドローンに主流のモーターで、効率が良くメンテナンス性が高いのが特徴です。
プロペラのスペック「ピッチ」が大きい場合の特徴はどれか。,1回転で進む距離が長く、高速飛行に適する|1回転で進む距離が短く、トルク重視である|プロペラの直径が大きいことを意味する,1回転で進む距離が長く、高速飛行に適する,ピッチはプロペラのねじれ具合を示し、大きいほど空気を多く押し出します。
飛行機（固定翼機）において、主翼の後縁にある動翼（エルロン）を操作すると機体はどう動くか。,ロール（左右に傾く）|ピッチ（機首が上下する）|ヨー（左右に首を振る）,ロール（左右に傾く）,エルロンは機体をバンク（傾斜）させ、旋回するために使用します。
ヘリコプターの「スワッシュプレート」の役割はどれか。,ローターの角度（ピッチ）を変えて機体を制御する|エンジンの回転数を一定に保つ|テールローターの回転を止める,ローターの角度（ピッチ）を変えて機体を制御する,回転するブレードの角度を周期的に変化させ、前後左右への移動や上昇下降を行います。
マルチローターの飛行中、モーターが1つ停止した場合の挙動（4発機の場合）はどれか。,姿勢を維持できず墜落する|残りのモーターでホバリングする|自動的に滑空して着陸する,姿勢を維持できず墜落する,一般的なクアッドコプター（4枚翼）は冗長性がなく、1箇所の故障で制御不能になります。
GNSS（衛星測位システム）を使用しないモード（ATTIモード）の特徴はどれか。,風に流されるため、当て舵などの操作が必要|自動でその場にホバリングする|障害物を自動で回避する,風に流されるため、当て舵などの操作が必要,位置補正が働かないため、風の影響を直接受け、操縦者が常に位置を修正する必要があります。
気圧センサの主な役割はどれか。,機体の高度を推定・維持する|機体の方位を検知する|障害物との距離を測る,機体の高度を推定・維持する,気圧の変化から高度を算出し、一定高度での飛行を支援します。
地磁気センサ（コンパス）のキャリブレーションを行うべき場所として適切なのはどれか。,周囲に金属や磁気発生源がない開けた場所|鉄筋コンクリートの建物の屋上|自動車のすぐ横,周囲に金属や磁気発生源がない開けた場所,磁気干渉を防ぐため、鉄骨や車、高圧線などから離れた場所で行います。
無線通信で使用される「2.4GHz帯」の特徴として正しいものはどれか。,直進性が強いが、障害物の背後には回り込みにくい|障害物を透過する力が非常に強い|雨の影響を全く受けない,直進性が強いが、障害物の背後には回り込みにくい,周波数が高いほど直進性が増し、回折（回り込み）しにくくなるため、見通しの確保が重要です。
送信機のアンテナの向きについて、最も電波が強く放射される部分はどこか。,アンテナの側面|アンテナの先端|アンテナの根元,アンテナの側面,ホイップアンテナは側面方向にドーナツ状に電波を出すため、側面を機体に向けるのが適切です。
操縦者が「夜間」と判断すべき基準はどれか。,国立天文台が発表する日没から日出まで|周囲が暗くて機体が見えにくい時|午後5時から翌朝5時まで,国立天文台が発表する日没から日出まで,航空法上の夜間は、暦上の日没から日出までの時間を指します。明るさは関係ありません。
目視外飛行に該当する行為はどれか。,モニターを見ながらの操縦（FPV）|眼鏡をかけての操縦|コンタクトレンズを使用しての操縦,モニターを見ながらの操縦（FPV）,機体を直接肉眼で見ていない状態はすべて目視外飛行となります。
第三者の定義として正しいものはどれか。,飛行に関与していない全ての人|操縦者の家族|飛行の依頼主,飛行に関与していない全ての人,操縦者、補助者、監視員など運航に関与している者以外は、家族や友人であっても第三者となります。
航空法における「物件投下」の例外（投下に当たらない行為）はどれか。,荷物を着陸させて地面に置く|水を散布する|ビラを撒く,荷物を着陸させて地面に置く,設置（置く）行為は投下には当たりません。散布は投下に該当します。
危険物輸送において「危険物」に含まれないものはどれか。,飛行のために必要な機体搭載のバッテリー|農薬|花火などの火薬類,飛行のために必要な機体搭載のバッテリー,機体の駆動用燃料やバッテリー、安全装備（パラシュート用火薬等）は輸送規制の対象外です。
「催し場所」の定義において重要な要素はどれか。,特定の日時と場所に多数の人が集まること|自然発生的に人が集まること|少人数のプライベートな集まり,特定の日時と場所に多数の人が集まること,お祭りやイベントなど、日時・場所が特定され多数が集まる行事が対象です。
カテゴリーⅡB飛行において許可・承認が免除されるための必須条件に含まれないものはどれか。,補助者の配置|二等以上の技能証明|第二種以上の機体認証,補助者の配置,カテゴリーⅡBは「立入管理措置」を講じれば、目視外飛行等でも補助者なしで許可免除となる場合があります（条件による）。
飛行前点検でプロペラに小さな亀裂を見つけた場合の対応はどれか。,直ちに新品に交換する|接着剤で補修して使用する|低空飛行ならそのまま使用する,直ちに新品に交換する,プロペラの破損は墜落に直結するため、補修せず交換が必要です。
飛行直後のモーターに触れて点検する際、確認すべき異常はどれか。,異常な発熱|冷たくなっていること|回転が止まっていること,異常な発熱,特定のモーターだけ異常に熱い場合、過負荷やベアリングの故障が疑われます。
フェイルセーフ機能の設定において、通信断絶時の動作として設定できないものはどれか。,自動で目的地まで飛行を継続する|自動帰還（RTH）|その場で着陸,自動で目的地まで飛行を継続する,通常、通信途絶時は安全側に倒す動作（帰還、着陸、ホバリング）が選択されます。
自動操縦中にトラブルが発生した際、操縦者がとるべき行動（オーバーライド）はどれか。,手動モードに切り替えて安全な場所へ誘導する|送信機の電源を切る|再起動するまで待つ,手動モードに切り替えて安全な場所へ誘導する,直ちに手動介入して事故を防ぐ必要があります。
CRM（クルー・リソース・マネジメント）の基本的な考え方はどれか。,利用可能な全てのリソースを活用して安全を高める|操縦者個人の技術向上のみを目指す|マニュアルを無視して臨機応変に対応する,利用可能な全てのリソースを活用して安全を高める,人、モノ、情報など全てを使ってエラーを防ぐ考え方です。
SHELLモデルの中心にある「L」は何を指すか。,Liveware（人間・操縦者）|Liveware（周囲の人）|Logic（論理）,Liveware（人間・操縦者）,中心のL（当事者）と周辺要素との不適合を分析するモデルです。
インシデント報告の対象となる「重大インシデント」の例はどれか。,飛行中の機体発火|着陸時の軽微な転倒|バッテリー切れによる正常な着陸,飛行中の機体発火,飛行中の発火や制御不能、衝突の危険があった場合などは重大インシデントとして報告義務があります。
特定飛行を行う場合のアルコールチェックについて正しい記述はどれか。,アルコール検知器等を用いて確認することが望ましい|自己申告で十分である|顔色を見て判断する,アルコール検知器等を用いて確認することが望ましい,航空局のガイドラインでは、検知器を用いた客観的な確認が推奨されています。
事故発生時の対応順序として最も適切なものはどれか。,飛行中止 → 負傷者救護 → 警察・消防連絡 → 国交省報告|国交省報告 → 飛行中止 → 負傷者救護|警察連絡 → 飛行中止 → 負傷者救護,飛行中止 → 負傷者救護 → 警察・消防連絡 → 国交省報告,まず危険を除去し（中止）、人命を救助するのが最優先です。報告は事後速やかに行います。
無人航空機の定義において「模型航空機」に分類される重量基準はどれか。,100g未満|200g未満|1kg未満,100g未満,航空法では、本体とバッテリーの合計重量が100g未満のものは「模型航空機」として扱われ、無人航空機の登録義務などの一部規定が適用されません。
航空法に基づき、アルコールの影響下で無人航空機を操縦した場合の罰則はどれか。,1年以下の懲役又は30万円以下の罰金|50万円以下の罰金|10万円以下の過料,1年以下の懲役又は30万円以下の罰金,飲酒操縦は非常に危険な行為であり、懲役刑を含む重い罰則が科せられます。
特定飛行を行う際に義務付けられている「飛行日誌」の記載項目に含まれないものはどれか。,操縦者の血圧・脈拍記録|飛行記録|日常点検記録,操縦者の血圧・脈拍記録,飛行日誌には「飛行記録」「日常点検記録」「点検整備記録」の3つを記載・保存する必要があります。健康状態の確認は義務ですが、日誌への詳細なバイタル記録までは求められていません。
事故発生時に操縦者が最優先で行わなければならない措置はどれか。,負傷者の救護|国土交通大臣への報告|機体の回収,負傷者の救護,事故時は直ちに飛行を中止し、負傷者の救護や火災の防止などの危険防止措置を最優先に行う法的義務があります。
航空法における「夜間」の定義として正しいものはどれか。,日没から日出まで|午後6時から午前6時まで|周囲が暗くなってから明るくなるまで,日没から日出まで,国立天文台が発表する日の入り（日没）から日の出（日出）までの間が夜間飛行の規制対象となります。
目視外飛行に該当しない（目視内と認められる）飛行方法はどれか。,眼鏡やコンタクトレンズを使用した直接監視|双眼鏡を使用した監視|モニターを見ながらの操縦（FPV）,眼鏡やコンタクトレンズを使用した直接監視,双眼鏡やモニター越しの監視は視野が限定されるため「目視外飛行」となります。矯正視力による直接監視は目視内です。
第三者や物件から確保すべき「30m」の距離の測定方法として正しいものはどれか。,機体と対象物との最短の直線距離|地上の水平距離|離陸地点からの距離,機体と対象物との最短の直線距離,30mの離隔距離は、水平距離ではなく機体から対象物への空間的な最短距離（斜めを含む）で判断します。
「催し場所上空」での飛行において、規制の対象となる「催し」の例はどれか。,プロ野球の試合や屋外コンサート|信号待ちの自然発生的な人混み|個人的なバーベキュー,プロ野球の試合や屋外コンサート,特定の日時と場所に多数の人が集まるイベントやお祭り等が対象です。自然発生的な混雑は含まれません。
航空法において「物件投下」に該当する行為はどれか。,農薬（液体）を霧状に散布する|着陸して荷物を地面に置く|機体の部品が事故で落下する,農薬（液体）を霧状に散布する,水や農薬などの液体を霧状に散布する行為も「物件投下」に含まれ、原則として承認が必要です。
緊急用務空域が指定された場合の対応として正しいものはどれか。,許可の有無に関わらず飛行を中止する|許可を持っていれば飛行を継続できる|低空であれば飛行できる,許可の有無に関わらず飛行を中止する,消防や警察の活動を妨げないよう、緊急用務空域では原則としてすべての無人航空機の飛行が禁止されます。
空港周辺の制限表面のうち、滑走路の進入方向にある扇形の空域を何と呼ぶか。,進入表面|水平表面|転移表面,進入表面,航空機が離着陸する経路の安全を確保するための表面で、この高さ以上の飛行は禁止されています。
「150m以上の高さの空域」の基準となる高さはどこから測るか。,地表または水面からの高さ（対地高度）|海抜（平均海面）からの高さ|離陸地点からの高さ,地表または水面からの高さ（対地高度）,航空法の高さ制限は、機体直下の地表または水面からの距離が基準となります。山間部では地形に沿って変化します。
登録記号（JUナンバー）の表示について、25kg未満の機体に求められる文字の高さはどれか。,3mm以上|10mm以上|25mm以上,3mm以上,25kg未満の機体は高さ3mm以上、25kg以上の機体は高さ25mm以上の文字で表示する必要があります。
小型無人機等飛行禁止法において、飛行が禁止される「周辺地域」は対象施設の周囲何mか。,おおむね300m|おおむね100m|おおむね1km,おおむね300m,重要施設の敷地およびその周囲おおむね300mの地域が規制対象となります。
産業用ドローン等で使用される5.7GHz帯の電波を利用するために必要な資格はどれか。,第三級陸上特殊無線技士以上|アマチュア無線技士|資格不要,第三級陸上特殊無線技士以上,5.7GHz帯は主に画像伝送用として使用され、陸上特殊無線技士の資格と無線局の開局が必要です。
飛行中の航空機に作用する4つの力のうち、機体を前進させる力はどれか。,推力|揚力|抗力,推力,プロペラやジェットエンジンによって生み出される、空気抵抗（抗力）に打ち勝って前進する力です。
飛行機（固定翼機）やプロペラが失速（ストール）する主な原因はどれか。,迎え角を大きくしすぎること|速度を出しすぎること|高度を上げすぎること,迎え角を大きくしすぎること,翼やプロペラが空気流に対する角度（迎え角）を超えると、気流が剥離して揚力を急激に失います。
マルチローター（ドローン）が前後左右に移動する原理はどれか。,各モーターの回転数を変化させて機体を傾ける|プロペラの角度（ピッチ）を変える|重心を物理的に移動させる,各モーターの回転数を変化させて機体を傾ける,一般的なマルチローターは固定ピッチであり、回転数の差で機体を傾け、推力の向きを変えて移動します。
離陸直後の地面付近で揚力が増加し、機体が不安定になる現象を何と呼ぶか。,地面効果（グラウンド・エフェクト）|ダウンバースト|フレネルゾーン,地面効果（グラウンド・エフェクト）,地面とローターの間で空気が圧縮され揚力が増す現象です。機体がふわふわと滑るような動きになります。
マルチローターが垂直に急降下した際に、自らの吹き下ろし気流で制御不能になる現象はどれか。,ボルテックス・リング・ステート|ダッチロール|スピン,ボルテックス・リング・ステート,セットリング・ウィズ・パワーとも呼ばれ、揚力を失い墜落する危険性が高い現象です。
リチウムポリマーバッテリーの長期保管に適した充電状態（電圧）はどれか。,50〜60％程度（保管電圧）|100％（満充電）|0％（完全放電）,50〜60％程度（保管電圧）,満充電や過放電状態での保管はバッテリーの劣化を早めるため、3.8V/セル程度の保管電圧が推奨されます。
リチウムポリマーバッテリーが膨らんでいる場合の対応として適切なものはどれか。,直ちに使用を中止し廃棄する|ガス抜きをして再利用する|冷やして使用する,直ちに使用を中止し廃棄する,膨らみは内部でガスが発生している危険な兆候であり、発火のリスクがあるため絶対に使用してはいけません。
GNSS（衛星測位システム）で3次元の位置（緯度・経度・高度）を特定するために最低限必要な衛星数はいくつか。,4つ|3つ|2つ,4つ,3次元座標の特定に加え、受信機と衛星の時刻誤差を補正するために最低4つの衛星が必要です。
ビルや地面で反射した衛星電波を受信してしまい、位置情報に誤差が生じる現象を何と呼ぶか。,マルチパス|フェードアウト|ドップラー効果,マルチパス,反射波（マルチパス）を受信することで距離計算が狂い、位置が大きくずれることがあります。
地磁気センサ（コンパス）に干渉し、方位の誤差を引き起こす主な要因はどれか。,鉄筋コンクリートや高圧線|木造の建物|水面,鉄筋コンクリートや高圧線,鉄材や電流は磁場を発生させるため、地磁気センサの正常な動作を妨げます。
地磁気センサの異常により、機体がホバリング中に円を描くようにふらつく現象を何と呼ぶか。,トイレボウル現象|ペンデュラム現象|ヨーイング現象,トイレボウル現象,方位の認識と位置補正のズレが原因で、渦を巻くように制御不能になる現象です。
送信機のアンテナから電波が最も強く放射される方向はどれか。,アンテナの側面方向|アンテナの先端方向|アンテナの根元方向,アンテナの側面方向,一般的なスティック状アンテナは、ドーナツ状に側面へ強く電波を出します。先端は最も弱くなります。
送信機と機体の間に障害物がなくても、地面等の反射波の影響で通信が悪化する領域を何と呼ぶか。,フレネルゾーン|デッドゾーン|バミューダゾーン,フレネルゾーン,無線通信において、アンテナ間に確保すべき回転楕円体の空間を指します。ここが塞がると通信強度が落ちます。
一般的に、安全な飛行のために中止を検討すべき地上の風速の目安はどれか。,5m/s以上|10m/s以上|1m/s以上,5m/s以上,多くの機体の運用限界や許可基準において、風速5m/s以上での飛行は中止すべきとされています。
地上と比較した上空（高度100m等）の風速の傾向として正しいものはどれか。,地上より強いことが多い|地上より弱いことが多い|地上と同じである,地上より強いことが多い,上空は地表の摩擦が少ないため、地上よりも風速が強くなる傾向があります。
CRM（クルー・リソース・マネジメント）の目的として適切なものはどれか。,利用可能な全リソースを活用し安全を高める|操縦者の技術だけで全てを解決する|コストを削減する,利用可能な全リソースを活用し安全を高める,人、機材、情報など全てのリソースをチームで有効活用してエラーを防ぐ考え方です。
カテゴリーIIB飛行が可能となる条件の組み合わせはどれか。,二等技能証明＋第二種機体認証＋立入管理措置|二等技能証明＋機体認証なし＋立入管理措置|一等技能証明＋機体認証なし＋立入管理措置なし,二等技能証明＋第二種機体認証＋立入管理措置,カテゴリーIIB（許可承認の免除）には、技能証明、機体認証、立入管理措置の3つが揃っている必要があります。
技能証明（免許）の有効期間は何年か。,3年|1年|5年,3年,一等・二等ともに技能証明の有効期間は3年です。更新には講習と身体適性の確認が必要です。
事故や重大インシデントが発生した際、国土交通大臣への報告期限はいつか。,直ちに（遅滞なく）|3日以内|1週間以内,直ちに（遅滞なく）,事故等の報告は、事態が発生した後、救護等の措置を終え次第「遅滞なく」行う必要があります。
飲酒操縦を行った場合の罰則として正しいものはどれか。,1年以下の懲役又は30万円以下の罰金|50万円以下の罰金|免許取消のみ,1年以下の懲役又は30万円以下の罰金,飲酒操縦は極めて悪質とされ、懲役刑を含む重い罰則が規定されています。
機体登録事項（住所等）に変更があった場合の届出期限はいつか。,15日以内|30日以内|遅滞なく,15日以内,所有者の住所変更などは事由発生から15日以内に届け出る必要があります。
特定飛行を行う前の「出発前の確認」項目に含まれないものはどれか。,操縦者の技能レベル|当該無人航空機の状況|飛行空域及び周囲の状況,操縦者の技能レベル,法的な確認項目は「機体の状況」「空域・周囲の状況」「操縦者の状態（アルコール等）」の3点です。
電波法に基づき、2.4GHz帯（小電力データ通信システム）を使用するために必要な要件はどれか。,技適マーク（技術基準適合証明）|無線局の開局免許|第三級陸上特殊無線技士免許,技適マーク（技術基準適合証明）,2.4GHz帯は技適マークがあれば無線免許不要で使用できます。
無人航空機のプロペラの「ピッチ」が表すものはどれか。,1回転で進む理論上の距離|プロペラの直径|プロペラの枚数,1回転で進む理論上の距離,ピッチはプロペラのねじれ具合を示し、1回転で空気をどれだけ押し出す（進む）かを表す数値です。
フェイルセーフ機能「RTH（リターントゥホーム）」の設定で最も注意すべき点はどれか。,帰還高度を周囲の障害物より高く設定する|帰還速度を最大にする|着陸地点をランダムにする,帰還高度を周囲の障害物より高く設定する,自動帰還中にビルや木に衝突しないよう、障害物より高い高度を設定する必要があります。
自動操縦飛行中、緊急時に操縦者がとるべき行動（オーバーライド）はどれか。,手動モードに切り替えて回避操作を行う|送信機の電源を切る|そのまま様子を見る,手動モードに切り替えて回避操作を行う,自動操縦であっても常に監視し、危険時は即座に手動介入（オーバーライド）して安全を確保する必要があります。
飛行機（固定翼機）の離着陸において適切な風向きはどれか。,向かい風（正対風）|追い風（背風）|横風,向かい風（正対風）,翼に十分な揚力を得るため、また対地速度を抑えるために、向かい風で離着陸を行うのが原則です。
ヘリコプターが離着陸時に脚（スキッド）が引っかかり横転する現象を何と呼ぶか。,ダイナミック・ロールオーバー|グラウンド・レゾナンス|セットリング・ウィズ・パワー,ダイナミック・ロールオーバー,片方のスキッドを支点にして急激に回転（横転）してしまう現象です。
二等無人航空機操縦士が「第三者上空」での飛行（カテゴリーIII）を行うことはできるか。,できない|立入管理措置をすればできる|補助者を置けばできる,できない,カテゴリーIII（第三者上空）飛行は一等資格と第一種機体認証が必須であり、二等資格では行えません。
機体登録においてリモートIDの搭載が免除されるケースはどれか。,あらかじめ届け出た特定区域内での飛行|夜間の飛行|目視外飛行,あらかじめ届け出た特定区域内での飛行,特定区域の届出や係留飛行、法執行機関の業務などの場合に免除されます。
SHELLモデルにおいて中心に位置する要素（L）は何を指すか。,人間（操縦者）|機体（ハードウェア）|手順（ソフトウェア）,人間（操縦者）,SHELLモデルは人間（Liveware）を中心とし、他の要素との相互作用でエラーを分析する手法です。
飛行日誌の記録が義務付けられるのはどのような飛行か。,特定飛行を行う場合|業務で使用する場合|全ての飛行,特定飛行を行う場合,特定飛行（カテゴリーII以上）を行う場合、飛行日誌の作成・携行・保存が義務付けられます。
バッテリーを寒冷地で使用する際の注意点はどれか。,使用前に温める（プレヒート）|冷やして保管する|満充電のまま放置する,使用前に温める（プレヒート）,低温下では電圧が低下しやすいため、使用前に20℃〜30℃程度に温めることが推奨されます。
夜間飛行を行う際に機体に必須となる装備はどれか。,機体の姿勢と方向がわかる灯火|高感度カメラ|赤外線センサ,機体の姿勢と方向がわかる灯火,夜間でも機体の向きを視認できるよう、所定の灯火を装備・点灯させる必要があります。
無人航空機の定義から除外される重量（模型航空機）はどれか。,100g未満|200g未満|1kg未満,100g未満,本体とバッテリーの合計重量が100g未満のものは「模型航空機」に分類されます。