question,category,options,answer,explanation
航空法における「無人航空機」の定義として正しい重量基準はどれか。,規則,a.200g以上|b.100g以上|c.100g未満,b,航空法の改正により無人航空機の登録義務化等の対象となる重量は100g以上と定義されています。
無人航空機の機体登録の有効期間は何年か。,規則,a.1年|b.3年|c.5年,b,機体登録の有効期間は3年であり更新が必要です。
機体登録記号の表示について、25kg未満の機体に求められる文字の高さはどれか。,規則,a.3mm以上|b.10mm以上|c.25mm以上,a,25kg未満の機体は3mm以上、25kg以上の機体は25mm以上の高さで表示する必要があります。
リモートID機能から発信される情報に含まれないものはどれか。,規則,a.機体の製造番号|b.機体の位置情報|c.所有者の氏名,c,リモートIDは登録記号や位置情報などを発信しますが、所有者の氏名などの個人情報は含まれません。
アルコールを摂取した状態での操縦について正しい記述はどれか。,規則,a.少量であれば認められる|b.体内にアルコールを保有する状態では禁止|c.呼気中濃度が基準値以下なら可,b,航空法ではアルコールの影響により正常な操縦ができないおそれがある状態での飛行を禁止しており、量に関わらず禁止されています。
特定飛行を行う場合の飛行日誌の携行について正しい記述はどれか。,運航,a.特定飛行を行う場合は必ず携行が必要|b.業務目的の場合のみ必要|c.個人の趣味であれば不要,a,特定飛行を行う場合、目的（業務・趣味）に関わらず飛行日誌の作成・携行が義務付けられています。
飛行禁止空域となる「高さ150m以上」の基準はどこからの高さか。,規則,a.海抜（平均海面）|b.離陸地点|c.地表または水面,c,航空法の高さ制限は、機体直下の地表または水面からの高さ（対地高度）が基準となります。
飛行中に有人航空機の接近を確認した場合の対応として適切なものはどれか。,リスク,a.有人機が回避するのを待つ|b.無人航空機を降下または着陸させる|c.そのままの高度で飛行を続ける,b,無人航空機は有人航空機の航行を妨げてはならず、回避義務があります。
DID地区の正式名称として正しいものはどれか。,規則,a.人口集中地区|b.飛行禁止地区|c.重要施設周辺地区,a,DIDはDensely Inhabited Districtの略で、国勢調査の結果に基づき設定される人口集中地区を指します。
航空法における「夜間」の定義として正しいものはどれか。,規則,a.午後6時から午前6時まで|b.日没から日出まで|c.周囲が暗くなってから明るくなるまで,b,国立天文台が発表する日の入り（日没）から日の出（日出）までが夜間と定義されます。
第三者や物件から確保すべき「30m」の距離基準に含まれる対象はどれか。,規則,a.操縦者本人|b.補助者|c.第三者の管理する電柱,c,30mルールの対象となる「物件」には、第三者が管理する建物や工作物（電柱等）が含まれます。
特定飛行において「催し場所上空」に該当する例はどれか。,規則,a.自然発生的な信号待ちの人混み|b.プロ野球の試合|c.混雑した駅前の歩道,b,特定の日時・場所に多数の人が集まるイベントやお祭り等が「催し」に該当します。
航空法において「物件投下」に該当する行為はどれか。,規則,a.農薬（液体）の散布|b.荷物を地面に置く|c.着陸して荷物を降ろす,a,水や農薬などの液体を霧状に散布する行為も「物件投下」に含まれ、承認が必要です。
カテゴリーⅡB飛行が認められる条件の組み合わせとして正しいものはどれか。,規則,a.二等資格＋一種機体認証＋立入管理なし|b.二等資格＋二種機体認証＋立入管理あり|c.資格なし＋機体認証なし＋立入管理あり,b,カテゴリーⅡB（許可承認の一部免除）を行うには、二等以上の技能証明と二種以上の機体認証を持ち、立入管理措置を講じる必要があります。
事故発生時に操縦者が最優先で行うべき措置はどれか。,リスク,a.国土交通省への報告|b.負傷者の救護|c.飛行日誌への記録,b,事故発生時は直ちに飛行を中止し、負傷者の救護や危険防止措置を最優先で行わなければなりません。
国土交通大臣への事故報告の期限として正しいものはどれか。,規則,a.3日以内|b.1週間以内|c.速やかに（遅滞なく）,c,事故等の報告は、事態が発生した後「遅滞なく」行う必要があります。
小型無人機等飛行禁止法において飛行が禁止される範囲は対象施設の周囲何mか。,規則,a.100m|b.300m|c.500m,b,重要施設の敷地およびその周囲おおむね300mの地域が対象となります。
小型無人機等飛行禁止法の対象施設周辺で飛行させる際の通報期限はいつか。,規則,a.飛行の24時間前まで|b.飛行の48時間前まで|c.飛行の1週間前まで,b,飛行を開始する48時間前までに管轄の警察署等へ通報書を提出する必要があります。
5.7GHz帯の電波を使用する無人航空機に必要な資格はどれか。,規則,a.無線従事者免許（三陸特以上）|b.アマチュア無線技士|c.資格不要,a,5.7GHz帯（産業用）を使用するには、第三級陸上特殊無線技士以上の資格と無線局の開局が必要です。
飛行中の航空機に作用する4つの力に含まれないものはどれか。,システム,a.揚力|b.遠心力|c.抗力,b,航空機に作用する4つの力は、揚力、重力、推力、抗力です。
マルチローター（ドローン）が前後左右に移動する主な原理はどれか。,システム,a.重心移動|b.プロペラのピッチ変更|c.各モーターの回転数変化,c,一般的なマルチローターは固定ピッチであり、各モーターの回転数を変えることで姿勢制御や移動を行います。
飛行機（固定翼機）やプロペラが失速する主な原因はどれか。,システム,a.速度が速すぎる|b.迎え角が大きすぎる|c.高度が高すぎる,b,翼やプロペラが空気を切り裂く角度（迎え角）が限界を超えると、気流が剥離して揚力を失う失速が起きます。
機体がどの方角を向いているかを検知するセンサはどれか。,システム,a.気圧センサ|b.GNSS|c.地磁気センサ（コンパス）,c,方位の特定には地磁気センサ（電子コンパス）が使用されます。
機体の傾きや角速度を検知し姿勢を安定させるセンサはどれか。,システム,a.IMU（慣性計測装置）|b.LiDAR|c.超音波センサ,a,ジャイロセンサと加速度センサを含むIMUが姿勢制御の中核を担います。
GNSS（衛星測位システム）で3次元の位置を特定するために最低限必要な衛星数はいくつか。,システム,a.3つ|b.4つ|c.6つ,b,緯度・経度・高度の特定に加え、時刻誤差の補正を行うために最低4つの衛星が必要です。
ビル等の反射波によりGNSSの測位精度が低下する現象を何と呼ぶか。,システム,a.フェードアウト|b.マルチパス|c.ドップラー効果,b,反射した電波（マルチパス）を受信することで位置情報に誤差が生じます。
リチウムポリマーバッテリーの長期保管に適した電圧（充電量）の目安はどれか。,システム,a.満充電（100%）|b.保管電圧（60%程度）|c.完全放電（0%）,b,満充電や過放電状態での保管は劣化を早めるため、定格の50〜60%程度（ストレージ電圧）で保管します。
リチウムポリマーバッテリーが膨らんでいる場合の対応として適切なものはどれか。,リスク,a.ガス抜きをして使用する|b.そのまま使用する|c.直ちに使用を中止する,c,膨らみは内部でガスが発生している危険な状態であり、発火のリスクがあるため使用してはいけません。
冬季などの低温時にバッテリーを使用する際の注意点はどれか。,リスク,a.冷やして使用する|b.保温・予熱してから使用する|c.満充電にしない,b,低温下では化学反応が鈍り電圧が低下しやすいため、使用前に20度〜30度程度に温めることが推奨されます。
モーターの回転数を制御する装置の名称はどれか。,システム,a.IMU|b.ESC|c.GPS,b,ESC（Electronic Speed Controller）がフライトコントローラーからの信号を基にモーターの回転を制御します。
夜間飛行を行う際に機体に装備しなければならないものはどれか。,システム,a.灯火|b.スピーカー|c.赤外線カメラ,a,機体の位置および方向を視認できる灯火の装備が義務付けられています。
目視外飛行に該当しない（目視内と認められる）飛行方法はどれか。,規則,a.双眼鏡を使用した監視|b.モニターを見ながらの操縦|c.眼鏡を使用した直接監視,c,眼鏡やコンタクトレンズによる矯正は目視に含まれますが、双眼鏡やモニター越しの監視は目視外となります。
一般的に飛行中止を検討すべき地上の風速の目安はどれか。,リスク,a.3m/s以上|b.5m/s以上|c.10m/s以上,b,多くの機体や許可基準において、風速5m/s以上での飛行は中止すべき目安とされています。
離陸直後の地面付近で揚力が増加し機体が不安定になる現象を何と呼ぶか。,システム,a.ダウンバースト|b.地面効果（グラウンド・エフェクト）|c.フレネルゾーン,b,地面とローターの間で空気が圧縮され揚力が増す現象です。
マルチローターが垂直に急降下した際に揚力を失う危険な現象はどれか。,システム,a.ボルテックス・リング・ステート|b.ダッチロール|c.スピン,a,自らの吹き下ろし気流（ダウンウォッシュ）に入り込み制御不能になる現象です。
送信機と機体の通信が途絶えた際に自動的に帰還する機能を何と呼ぶか。,システム,a.RTH（リターントゥホーム）|b.ATTIモード|c.ヘッドレスモード,a,フェイルセーフ機能の一つで、通信途絶時などに自動で離陸地点へ戻る機能です。
自動帰還（RTH）の高度設定において注意すべき点はどれか。,リスク,a.可能な限り低く設定する|b.周辺の障害物より高く設定する|c.海抜0mに設定する,b,帰還ルート上のビルや木に衝突しないよう、障害物より高い高度を設定する必要があります。
飛行機（固定翼機）の離着陸において適切な風向きはどれか。,運航,a.追い風|b.向かい風|c.横風,b,翼に十分な揚力を得るため、向かい風（正対風）で離着陸を行うのが原則です。
ヘリコプターとマルチローターを比較した際の特徴として正しいものはどれか。,システム,a.ヘリコプターの方がエネルギー効率が良い|b.マルチローターの方が構造が複雑である|c.ヘリコプターはホバリングができない,a,一般に大径ローターを持つヘリコプターの方が、小径プロペラのマルチローターより揚力発生効率が良いです。
最大離陸重量25kg以上の大型機の特徴として正しいものはどれか。,リスク,a.慣性が小さくすぐに止まれる|b.加速や減速に要する距離が長くなる|c.風の影響を受けやすい,b,重量が重いため慣性が大きく、動作の変化に時間と距離を要します。
CRM（クルー・リソース・マネジメント）の目的として適切なものはどれか。,運航,a.操縦者の負担を増やす|b.利用可能な全リソースを活用し安全を高める|c.コストを削減する,b,人、機材、情報など全てのリソースを有効活用してエラーを防ぐ考え方です。
重大インシデントとして報告義務がある事象はどれか。,規則,a.プロペラの破損|b.飛行中の制御不能|c.予定外の着陸,b,機体が制御不能になった場合や飛行中に発火した場合などは、事故に至らなくても重大インシデントとして報告が必要です。
飲酒操縦を行った場合の罰則として正しいものはどれか。,規則,a.1年以下の懲役又は30万円以下の罰金|b.50万円以下の罰金|c.過料のみ,a,飲酒操縦は極めて悪質とされ、懲役刑を含む重い罰則が規定されています。
登録記号の変更届出が必要となる事由が発生してから届出までの期限は何日か。,規則,a.15日以内|b.30日以内|c.60日以内,a,所有者の変更など登録事項に変更があった場合は15日以内に届け出る必要があります。
特定飛行を行う前の「出発前の確認」に含まれない項目はどれか。,運航,a.機体の点検|b.操縦者の技能証明書の更新|c.飛行空域の気象状態,b,出発前の確認項目は「機体の状況」「空域・周囲の状況」「操縦者の状態（アルコール等）」の3点です。免許更新は手続きの問題です。
地磁気センサに悪影響を与える（磁気干渉を起こす）場所はどれか。,システム,a.鉄筋コンクリートの上|b.芝生の上|c.木製テーブルの上,a,内部の鉄筋が磁気を帯びていることが多く、コンパスエラーの原因となります。
二等無人航空機操縦士の「限定解除」に含まれない項目はどれか。,規則,a.夜間飛行|b.目視外飛行|c.人口集中地区（DID）での飛行,c,DID地区での飛行は「カテゴリーⅡB」等の条件による許可免除の対象ですが、免許自体の限定項目（昼間限定、目視内限定、25kg未満限定）には含まれません。
電波法に基づき、無線局の免許なしで使用できる（技適マーク付き）周波数帯はどれか。,規則,a.169MHz帯|b.2.4GHz帯|c.5.7GHz帯,b,2.4GHz帯は小電力データ通信システム等として、技適マークがあれば免許不要で使用できます。
補助者を配置せずに目視外飛行を行う場合の追加要件に含まれるものはどれか。,規則,a.機体の塗色や灯火による視認性向上|b.プロペラガードの装着|c.予備バッテリーの搭載,a,補助者なし目視外飛行では、有人機からの視認性を高めるための灯火や塗色が求められます。
事故等の報告をせず、または虚偽の報告をした場合の罰則はどれか。,規則,a.10万円以下の罰金|b.30万円以下の罰金|c.50万円以下の罰金,b,事故報告義務違反には30万円以下の罰金が科せられます。
修了審査の口述試験において、機体識別表示（登録記号）を確認する際の正しい手順はどれか。,運航,a.目視で確認し「異常なし」と発声する|b.記号（JU番号）を実際に読み上げ、点検用紙に書き写す|c.スマホで写真を撮って保存する,b,ソースの動画書き起こしに基づき、機体識別表示の汚れや剥がれを確認した後、実際に「JU...」と番号を読み上げ、その場で用紙に記入することが求められています。
修了審査の「作動後点検」において、電源を入れる正しい順序はどれか。,運航,a.機体→送信機（プロポ）|b.送信機（プロポ）→機体|c.どちらからでも良い,b,安全管理上、必ず送信機（プロポ）の電源を先に入れ、その後に機体の電源を入れます。逆の手順は暴走の危険があるため減点対象となります。
新設された「レベル3.5飛行」を行うための要件として、正しい記述はどれか。,規則,a.立入管理措置（看板や補助者）を講じる必要がある|b.操縦者は二等以上の技能証明を持ち、機上カメラ等で安全確認を行う|c.カテゴリーIII飛行と同じく一等技能証明が必須である,b,レベル3.5飛行は、デジタル技術（機上カメラ）の活用により立入管理措置を撤廃・簡略化するもので、二等資格と保険加入等を条件に認められます。
機体認証制度において「第一種機体認証」の有効期間は何年か。,規則,a.1年|b.2年|c.3年,a,カテゴリーIII飛行（第三者上空）に使用される第一種機体認証の有効期間は1年です。第二種は3年です。
無人航空機操縦者技能証明（免許）が取り消された場合、再び受験が可能になるまでの欠格期間は何年か。,規則,a.1年|b.2年|c.3年,b,航空法の規定に基づき、技能証明を取り消された日から2年を経過しない者は、新たに技能証明を受けることができません。
行政処分として技能証明の効力が停止される場合、その期間は最大でどのくらいか。,規則,a.6ヶ月以内|b.1年以内|c.3年以内,b,違反の程度に応じ、国土交通大臣は1年以内の期間を定めて技能証明の効力を停止することができます。
特定飛行を行う際に作成する「飛行日誌」を構成する3つの記録に含まれないものはどれか。,運航,a.飛行記録|b.日常点検記録|c.操縦者訓練記録,c,飛行日誌は「飛行記録」「日常点検記録」「点検整備記録」の3つで構成されます。訓練記録は必須構成要素ではありません。
登録記号の表示色について、正しい要件はどれか。,規則,a.黒色でなければならない|b.機体の地色と鮮明に判別できる色|c.赤色または黄色,b,登録記号は耐久性のある方法で、機体の地色と鮮明に判別できる色（コントラストのある色）で表示する必要があります。
バッテリーのスペック「Cレート」が表す性能はどれか。,システム,a.バッテリーの容量|b.一度に流せる電流の大きさ（放電能力）|c.充電にかかる時間,b,容量（Ah）に対してどれだけの倍率の電流を流せるかを示す指標です。数値が高いほど高出力に対応できます。
ブラシレスモーターの特徴として正しいものはどれか。,システム,a.ブラシ（接触子）がないため摩耗が少なく長寿命である|b.構造が複雑で定期的なブラシ交換が必要である|c.価格が安く制御が単純である,a,ドローンの主流であるブラシレスモーターは、接点がないため摩擦が少なく、効率的で長寿命なのが特徴です。
プロペラのスペック「ピッチ」が大きい場合の特徴はどれか。,システム,a.1回転で進む距離が長く、高速飛行に適する|b.1回転で進む距離が短く、トルク重視である|c.プロペラの直径が大きいことを意味する,a,ピッチはプロペラのねじれ具合を示し、大きいほど空気を多く押し出すため、高速飛行に向きますが負荷も大きくなります。
地磁気センサ（電子コンパス）のキャリブレーションを行うべき場所として不適切なのはどれか。,システム,a.周囲に何もない河川敷|b.鉄筋コンクリート造の建物の屋上|c.木製の台の上,b,コンクリート内部の鉄筋が強い磁気干渉源となり、誤った値を記憶してしまう危険があります。
地磁気センサの異常により、機体が円を描くようにふらつく現象を何と呼ぶか。,システム,a.トイレボウル現象|b.ペンデュラム現象|c.ヨーイング現象,a,方位の認識と位置補正が噛み合わず、機体が渦を巻くように動く現象です。
送信機のアンテナから電波が最も強く放射される方向はどれか。,システム,a.アンテナの先端方向|b.アンテナの側面方向|c.アンテナの根元方向,b,一般的なスティック状（ホイップ）アンテナは、側面方向にドーナツ状に強く電波を出します。先端は最も弱くなります。
「フレネルゾーン」の説明として適切なものはどれか。,システム,a.送信機と機体を取り囲む球状の空間|b.アンテナ間に形成されるラグビーボール状（回転楕円体）の空間|c.電波が届かない死角の空間,b,見通しが良くても、この空間内に障害物（地面含む）があると通信品質が低下します。
GNSSの測位精度を表す指標「DOP」の値について、正しい記述はどれか。,システム,a.値が小さいほど精度が良い|b.値が大きいほど精度が良い|c.値は精度に関係ない,a,衛星の配置バランスが良い（空に広く分散している）とDOP値は小さくなり、測位精度が向上します。
飛行機（固定翼機）において、主翼の後縁にある動翼（エルロン）を操作すると機体はどう動くか。,システム,a.ロール（左右に傾く）|b.ピッチ（機首が上下する）|c.ヨー（左右に首を振る）,a,エルロンは機体をバンク（傾斜）させ、旋回するために使用します。
ヘリコプターの「スワッシュプレート」の役割はどれか。,システム,a.ローターの角度（ピッチ）を変えて機体を制御する|b.エンジンの回転数を一定に保つ|c.テールローターの回転を止める,a,回転するブレードの角度を周期的に変化させ、前後左右への移動や上昇下降を行います。
気象用語における「ガスト」の意味はどれか。,リスク,a.平均風速|b.瞬間的な突風|c.無風状態,b,平均風速とは別に、瞬間的に吹く強い風（ガスト）を考慮してリスク管理を行う必要があります。
「海陸風」において、夜間に吹く風の特徴はどれか。,リスク,a.海から陸へ吹く（海風）|b.陸から海へ吹く（陸風）|c.風は止まる,b,夜間は陸地が冷えやすいため、陸から海へ向かって風が吹きます。
積乱雲の下で発生する「ダウンバースト」の特徴はどれか。,リスク,a.強烈な上昇気流|b.強烈な下降気流|c.穏やかな水平気流,b,積乱雲から冷たい空気が地面に叩きつけられ、四方に広がる突風現象です。ドローンにとって極めて危険です。
リスク評価において「危険半径」を算出する際の基準となる距離はどれか。,リスク,a.常に30m|b.飛行高度または30mのいずれか長い方|c.飛行高度の2倍,b,高度が高くなると落下範囲も広がるため、高度が30mを超える場合はその高度を半径とします。
安全な飛行のために中止を検討すべき地上の風速の目安はどれか。,リスク,a.3m/s以上|b.5m/s以上|c.10m/s以上,b,多くの機体の運用限界や許可基準において、風速5m/s以上での飛行は中止すべき目安とされています。
インシデント報告の対象となる「航空機との接近」とは、どのような状態を指すか。,規則,a.接触した状態|b.衝突または接触のおそれがあったと認める事態|c.視界に入った状態,b,実際にぶつかっていなくても、「危なかった（ニアミス）」と感じられる事態は重大インシデントとして報告が必要です。
SHELLモデルにおいて、エラーの分析対象となる中心要素「L」は何を指すか。,運航,a.Liveware（人間・操縦者）|b.Logic（論理）|c.Location（場所）,a,SHELLモデルは、中心にいる人間（L）と周辺要素（S、H、E、L）との不適合を分析する手法です。
「インシデント」と「事故」の違いに関する説明として適切なものはどれか。,規則,a.インシデントは報告不要だが、事故は報告が必要|b.インシデントは事故に至る可能性があった事態、事故は実際に被害が生じた事態|c.インシデントは機体の故障、事故は人的ミス,b,結果として被害が出たのが事故、出る手前で防がれた（または被害が出なかった）危険な状態がインシデント（重大インシデント）です。
バッテリーの「並列接続」を行った場合の変化として正しいものはどれか。,システム,a.電圧が2倍になる|b.容量が2倍になる|c.変化しない,b,並列接続は容量（Ah）が増え、電圧（V）は変わりません。直列接続は電圧が増えます。
5.7GHz帯（産業用ドローン）を使用するために必要な「第三級陸上特殊無線技士」の資格は、誰が管理するものか。,規則,a.国土交通省|b.総務省|c.経済産業省,b,電波法や無線資格は総務省の管轄です。
気圧センサによる高度維持において、誤差が生じやすい気象条件はどれか。,システム,a.晴天無風の安定した日|b.気圧が急激に変化する時（雷雨接近等）|c.気温が一定の日,b,気圧センサは気圧の変化を高度の変化として読み取るため、天候による気圧変化を「高度が変わった」と誤認することがあります。
GPSなどの衛星測位システムにおいて、精度を向上させる「RTK」とは何の略か。,システム,a.Real Time Kinematic|b.Radio Transmission Key|c.Remote Tracking Kite,a,固定局と移動局のデータをリアルタイムで突き合わせ、センチメートル級の精度を実現する測位方式です。
プロペラが高速回転することで発生する「ジャイロ効果」が機体に与える影響はどれか。,システム,a.機体の姿勢を安定させようとする力として働く|b.機体を常に右に旋回させる|c.揚力を減少させる,a,回転体はその姿勢を保とうとする性質（ジャイロ効果）があり、これが飛行の安定性に寄与します。
リチウムイオンバッテリーの発火時に、水を使って消火することについての是非はどれか。,運航,a.リチウムと水が反応するため厳禁である|b.大量の水で冷却・消火することが推奨される場合が多い|c.砂をかけるしか方法がない,b,以前は禁忌とされましたが、現在は大量の水による冷却効果で熱暴走を止めることが有効とされています（※ただし状況や規模による）。
特定飛行において、事故発生時に「救護」よりも「報告」を優先した場合の法的な扱いはどうなるか。,規則,a.報告義務違反にはならないが、救護義務違反に問われる可能性がある|b.報告が遅れたことによる罰則のみが科される|c.問題はない,a,救護は最優先の義務であり、これを怠ると重い罰則（救護義務違反）の対象となります。
機体認証を受けていない自作機でカテゴリーIII飛行（第三者上空）を行うことは可能か。,規則,a.可能（許可を取ればよい）|b.不可能（カテゴリーIIIは第一種機体認証が必須）|c.可能（補助者を置けばよい）,b,カテゴリーIII飛行を行うには、例外なく「第一種機体認証」と「一等操縦士資格」が必須条件です。
「安全マージン」をとったバッテリー運用として適切な残量はどれか。,運航,a.0%ギリギリまで使い切る|b.10%残して着陸する|c.20%～30%程度残して着陸する,c,突風や着陸のやり直しを考慮し、余裕を持って着陸させるのが安全運航の基本です。
電波法における「不法無線局」を開設した場合の罰則として正しいものはどれか。,規則,a.1年以下の懲役又は100万円以下の罰金|b.注意のみ|c.免許の停止のみ,a,電波法違反も非常に重い罪であり、懲役刑や高額な罰金が科せられます。
修了審査において、眼鏡やコンタクトレンズの条件（視力）はどれくらいか。,運航,a.両眼で0.7以上|b.両眼で1.0以上|c.裸眼で0.7以上,a,ソースに基づき、矯正視力を含めて両眼0.7以上が基準です。
飛行機の「失速（ストール）」を防ぐために監視すべきパラメータはどれか。,システム,a.対地高度|b.対気速度（エアスピード）|c.GNSS衛星数,b,飛行機は翼に当たる風の速度（対気速度）が不足すると揚力を失います。
夜間飛行において、機体の向き（機首方向）を判断するための主要な情報はどれか。,運航,a.機体のシルエット|b.機体に装備された灯火（色と配置）|c.プロペラの回転音,b,ソースに基づき、灯火の色（前が赤など）で向きを判断します。
「物件投下」において、投下場所に補助者を配置しない場合の投下高度の原則はどれか。,規則,a.1m以内|b.10m以内|c.30m以内,a,補助者なしでの投下は、高度1m以内という厳しい制限があります。
リチウムポリマーバッテリーを廃棄する際、塩水等に浸ける主な目的は何か。,運航,a.有害物質を中和するため|b.完全に放電させ、発火リスクをなくすため|c.リサイクルしやすくするため,b,残留エネルギーによる発火を防ぐための完全放電処理です。
「ベルヌーイの定理」により、翼の上面の空気の流れが速くなると、圧力はどうなるか。,システム,a.圧力が高くなる|b.圧力が低くなる|c.変わらない,b,流速が上がると圧力が下がり、その圧力差によって揚力が発生します。
モーターのスペック「KV値」が高いモーターの特徴はどれか。,システム,a.回転数が低く、大きなプロペラを回せる|b.回転数が高く、小さなプロペラ向きである|c.電圧に関係なく一定の回転数である,b,KV値が高い＝高回転型であり、小径プロペラに適しています。
気象庁が発表する「風速」の定義はどれか。,リスク,a.瞬間的な風速|b.前10分間の平均風速|c.前1時間の平均風速,b,通常の天気予報の風速は10分間平均値を指します。
カテゴリーIII飛行を行う操縦者に求められる技能証明の等級はどれか。,規則,a.二等以上|b.一等のみ|c.不要,b,カテゴリーIII（第三者上空）は一等無人航空機操縦士の独占業務です。
機体認証制度において、メーカーが指定する「運用限界」に含まれる項目はどれか。,規則,a.最大離陸重量や限界風速|b.機体の価格|c.機体の色,a,安全に飛行できる限界条件（風速、重量、高度等）が指定されます。
特定飛行を行う際、携帯する「飛行日誌」はどのような形式で認められているか。,運航,a.紙のノートのみ|b.紙または電子データ|c.国土交通省指定の専用ノートのみ,b,アプリ等の電子データでの携帯も認められています。
無人航空機の「改造」を行った場合、講じるべき措置はどれか。,規則,a.特に何もしなくてよい|b.点検整備記録に記載し、必要なら機体登録の変更届出を行う|c.新しい機体として登録し直す,b,改造内容の記録や、登録内容（重量等）が変わる場合の変更手続きが必要です。
「ダウンバースト」が発生しやすい気象条件はどれか。,リスク,a.快晴無風の日|b.発達した積乱雲の下|c.霧が発生している時,b,積乱雲からの冷たい下降気流が地面に衝突して広がる現象です。
ドローンの飛行において、緊急時に備えて確保しておくべき場所を何と呼ぶか。,リスク,a.緊急着陸地点|b.セーフティゾーン|c.ベースキャンプ,a,飛行経路沿いに不時着可能な場所（緊急着陸地点）を予め選定しておくことがリスク管理上重要です。
リチウムポリマーバッテリー（LiPo）の1セルあたりの公称電圧として正しいものはどれか。,システム,a.1.2V|b.3.7V|c.4.2V,b,LiPoの公称電圧は3.7Vです。満充電時は約4.2V、保管時は約3.8Vが目安となります。
バッテリーのスペックにある「Cレート（放電レート）」が表す性能はどれか。,システム,a.バッテリーの容量|b.一度に流せる電流の大きさ（放電能力）|c.充電にかかる時間,b,容量（Ah）に対してどれだけの倍率の電流を流せるかを示す指標です。数値が高いほど高出力に対応できます。
バッテリーが膨らんでいる（スウェリング）原因として最も適切なものはどれか。,システム,a.内部でガスが発生しているため|b.容量が増加したため|c.外気圧が下がったため,a,過充電や劣化により電解質が分解され、可燃性ガスが発生している危険な状態です。直ちに使用を中止する必要があります。
